input,issues
"Drone log, vbat avg=23.48V (min=16.46V), amperage max=23.67A, rssi avg=76 (min=66), motor imbalance=201, gyro variability=1.557, acc variability=28.688, GPS sats min=8, GPS speed max=6.06 m/s, alt avg=118.8m, throttle avg=1480, failsafe phase=0, rx signal quality=0.01 → What issues occurred?",prop wash; failsafe triggered
"Drone log, vbat avg=22.39V (min=13.1V), amperage max=20.11A, rssi avg=67 (min=59), motor imbalance=288, gyro variability=4.647, acc variability=4.594, GPS sats min=11, GPS speed max=13.13 m/s, alt avg=50.8m, throttle avg=1039, failsafe phase=0, rx signal quality=0.29 → What issues occurred?",motor desync; failsafe triggered
"Drone log, vbat avg=22.1V (min=15.76V), amperage max=19.56A, rssi avg=93 (min=67), motor imbalance=203, gyro variability=4.008, acc variability=18.08, GPS sats min=0, GPS speed max=10.58 m/s, alt avg=50.0m, throttle avg=1378, failsafe phase=0, rx signal quality=0.06 → What issues occurred?",failsafe triggered; gps loss
"Drone log, vbat avg=22.43V (min=22.34V), amperage max=4.72A, rssi avg=40 (min=40), motor imbalance=211, gyro variability=0.143, acc variability=0.075, GPS sats min=13, GPS speed max=17.49 m/s, alt avg=563.9m, throttle avg=1134, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.06V (min=21.95V), amperage max=4.72A, rssi avg=46 (min=45), motor imbalance=294, gyro variability=0.125, acc variability=0.135, GPS sats min=14, GPS speed max=10.28 m/s, alt avg=796.6m, throttle avg=1141, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.78V (min=22.65V), amperage max=5.62A, rssi avg=45 (min=44), motor imbalance=353, gyro variability=0.061, acc variability=0.105, GPS sats min=11, GPS speed max=18.76 m/s, alt avg=706.9m, throttle avg=1147, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.84V (min=21.51V), amperage max=23.41A, rssi avg=37 (min=17), motor imbalance=155, gyro variability=4.64, acc variability=22.527, GPS sats min=5, GPS speed max=22.15 m/s, alt avg=73.8m, throttle avg=1697, failsafe phase=0, rx signal quality=0.4 → What issues occurred?",prop wash; rssi drop; failsafe triggered
"Drone log, vbat avg=22.36V (min=18.43V), amperage max=9.56A, rssi avg=42 (min=94), motor imbalance=354, gyro variability=2.87, acc variability=6.789, GPS sats min=2, GPS speed max=11.15 m/s, alt avg=66.9m, throttle avg=1213, failsafe phase=1, rx signal quality=0.31 → What issues occurred?",motor desync; failsafe triggered
"Drone log, vbat avg=23.61V (min=20.81V), amperage max=23.12A, rssi avg=32 (min=73), motor imbalance=195, gyro variability=3.244, acc variability=23.952, GPS sats min=2, GPS speed max=9.9 m/s, alt avg=130.0m, throttle avg=1456, failsafe phase=1, rx signal quality=0.75 → What issues occurred?",prop wash; failsafe triggered
"Drone log, vbat avg=23.28V (min=11.3V), amperage max=12.37A, rssi avg=60 (min=88), motor imbalance=183, gyro variability=4.589, acc variability=8.682, GPS sats min=13, GPS speed max=13.98 m/s, alt avg=100.9m, throttle avg=1132, failsafe phase=1, rx signal quality=0.69 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=20.29V (min=13.87V), amperage max=20.42A, rssi avg=75 (min=86), motor imbalance=184, gyro variability=0.355, acc variability=11.453, GPS sats min=10, GPS speed max=22.84 m/s, alt avg=51.5m, throttle avg=1543, failsafe phase=0, rx signal quality=0.17 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=21.63V (min=11.49V), amperage max=6.68A, rssi avg=43 (min=88), motor imbalance=146, gyro variability=2.198, acc variability=39.799, GPS sats min=3, GPS speed max=7.16 m/s, alt avg=140.7m, throttle avg=1200, failsafe phase=1, rx signal quality=0.12 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=21.98V (min=21.71V), amperage max=21.17A, rssi avg=37 (min=36), motor imbalance=1699, gyro variability=1.98, acc variability=1.583, GPS sats min=14, GPS speed max=18.4 m/s, alt avg=615.3m, throttle avg=1152, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.09V (min=22.0V), amperage max=12.83A, rssi avg=30 (min=71), motor imbalance=217, gyro variability=3.077, acc variability=15.784, GPS sats min=10, GPS speed max=4.92 m/s, alt avg=147.7m, throttle avg=1247, failsafe phase=0, rx signal quality=0.62 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=21.84V (min=21.78V), amperage max=5.02A, rssi avg=39 (min=39), motor imbalance=220, gyro variability=0.033, acc variability=0.061, GPS sats min=15, GPS speed max=16.99 m/s, alt avg=594.7m, throttle avg=1152, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.89V (min=22.76V), amperage max=5.95A, rssi avg=35 (min=35), motor imbalance=172, gyro variability=0.034, acc variability=0.124, GPS sats min=9, GPS speed max=22.57 m/s, alt avg=792.3m, throttle avg=1172, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.02V (min=17.73V), amperage max=24.08A, rssi avg=55 (min=80), motor imbalance=145, gyro variability=2.785, acc variability=13.769, GPS sats min=13, GPS speed max=17.99 m/s, alt avg=61.6m, throttle avg=1424, failsafe phase=0, rx signal quality=0.99 → What issues occurred?",no issue
"Drone log, vbat avg=21.7V (min=14.47V), amperage max=16.19A, rssi avg=79 (min=35), motor imbalance=341, gyro variability=2.099, acc variability=1.036, GPS sats min=4, GPS speed max=7.99 m/s, alt avg=107.1m, throttle avg=1526, failsafe phase=0, rx signal quality=0.76 → What issues occurred?",prop wash; motor desync; failsafe triggered
"Drone log, vbat avg=21.76V (min=21.66V), amperage max=5.22A, rssi avg=39 (min=39), motor imbalance=200, gyro variability=0.048, acc variability=0.073, GPS sats min=14, GPS speed max=21.33 m/s, alt avg=706.4m, throttle avg=1164, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.53V (min=22.15V), amperage max=20.17A, rssi avg=48 (min=60), motor imbalance=23, gyro variability=1.198, acc variability=25.313, GPS sats min=3, GPS speed max=20.9 m/s, alt avg=81.6m, throttle avg=1193, failsafe phase=1, rx signal quality=0.59 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=23.65V (min=9.39V), amperage max=5.79A, rssi avg=57 (min=63), motor imbalance=260, gyro variability=1.726, acc variability=13.185, GPS sats min=0, GPS speed max=11.09 m/s, alt avg=149.8m, throttle avg=1269, failsafe phase=0, rx signal quality=0.36 → What issues occurred?",failsafe triggered; gps loss
"Drone log, vbat avg=21.88V (min=8.9V), amperage max=5.94A, rssi avg=85 (min=81), motor imbalance=185, gyro variability=1.548, acc variability=24.058, GPS sats min=5, GPS speed max=10.27 m/s, alt avg=83.1m, throttle avg=1259, failsafe phase=1, rx signal quality=0.44 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=23.94V (min=13.09V), amperage max=11.45A, rssi avg=76 (min=54), motor imbalance=216, gyro variability=2.717, acc variability=18.563, GPS sats min=6, GPS speed max=24.25 m/s, alt avg=82.7m, throttle avg=1700, failsafe phase=1, rx signal quality=0.52 → What issues occurred?",prop wash; failsafe triggered
"Drone log, vbat avg=22.61V (min=16.89V), amperage max=8.33A, rssi avg=55 (min=51), motor imbalance=24, gyro variability=1.524, acc variability=13.658, GPS sats min=3, GPS speed max=10.18 m/s, alt avg=148.0m, throttle avg=1545, failsafe phase=0, rx signal quality=0.9 → What issues occurred?",no issue
"Drone log, vbat avg=21.43V (min=21.35V), amperage max=4.55A, rssi avg=52 (min=50), motor imbalance=392, gyro variability=0.084, acc variability=0.157, GPS sats min=16, GPS speed max=16.18 m/s, alt avg=472.5m, throttle avg=1126, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=20.03V (min=20.76V), amperage max=14.41A, rssi avg=40 (min=42), motor imbalance=82, gyro variability=0.341, acc variability=4.677, GPS sats min=1, GPS speed max=5.58 m/s, alt avg=68.3m, throttle avg=1086, failsafe phase=0, rx signal quality=0.25 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=23.37V (min=10.98V), amperage max=15.92A, rssi avg=20 (min=58), motor imbalance=106, gyro variability=3.684, acc variability=13.552, GPS sats min=10, GPS speed max=12.6 m/s, alt avg=57.0m, throttle avg=1219, failsafe phase=1, rx signal quality=0.85 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=21.35V (min=21.23V), amperage max=5.37A, rssi avg=44 (min=44), motor imbalance=319, gyro variability=0.114, acc variability=0.094, GPS sats min=16, GPS speed max=12.68 m/s, alt avg=447.7m, throttle avg=1162, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.64V (min=21.5V), amperage max=18.72A, rssi avg=32 (min=31), motor imbalance=1351, gyro variability=0.986, acc variability=0.867, GPS sats min=14, GPS speed max=17.66 m/s, alt avg=623.4m, throttle avg=1222, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=20.63V (min=15.24V), amperage max=5.41A, rssi avg=62 (min=83), motor imbalance=168, gyro variability=1.476, acc variability=10.416, GPS sats min=0, GPS speed max=8.11 m/s, alt avg=50.7m, throttle avg=1026, failsafe phase=0, rx signal quality=0.92 → What issues occurred?",gps loss
"Drone log, vbat avg=22.19V (min=19.95V), amperage max=11.46A, rssi avg=80 (min=35), motor imbalance=147, gyro variability=4.853, acc variability=7.495, GPS sats min=4, GPS speed max=9.76 m/s, alt avg=115.3m, throttle avg=1523, failsafe phase=0, rx signal quality=0.61 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=21.83V (min=10.87V), amperage max=11.41A, rssi avg=47 (min=19), motor imbalance=372, gyro variability=3.638, acc variability=15.13, GPS sats min=2, GPS speed max=13.52 m/s, alt avg=107.2m, throttle avg=1001, failsafe phase=0, rx signal quality=0.01 → What issues occurred?",rssi drop; motor desync; failsafe triggered
"Drone log, vbat avg=17.17V (min=17.01V), amperage max=5.12A, rssi avg=45 (min=45), motor imbalance=421, gyro variability=0.048, acc variability=0.116, GPS sats min=15, GPS speed max=8.26 m/s, alt avg=532.6m, throttle avg=1199, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.77V (min=21.71V), amperage max=7.72A, rssi avg=38 (min=37), motor imbalance=777, gyro variability=0.148, acc variability=0.474, GPS sats min=14, GPS speed max=14.59 m/s, alt avg=614.1m, throttle avg=1183, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.17V (min=22.05V), amperage max=5.27A, rssi avg=38 (min=38), motor imbalance=440, gyro variability=0.273, acc variability=0.128, GPS sats min=14, GPS speed max=16.76 m/s, alt avg=748.4m, throttle avg=1137, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=23.06V (min=18.97V), amperage max=12.77A, rssi avg=83 (min=76), motor imbalance=59, gyro variability=0.884, acc variability=13.108, GPS sats min=7, GPS speed max=14.49 m/s, alt avg=77.8m, throttle avg=1799, failsafe phase=1, rx signal quality=0.7 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=23.42V (min=19.03V), amperage max=15.19A, rssi avg=46 (min=89), motor imbalance=290, gyro variability=2.372, acc variability=38.739, GPS sats min=5, GPS speed max=4.59 m/s, alt avg=140.1m, throttle avg=1411, failsafe phase=0, rx signal quality=0.9 → What issues occurred?",prop wash; motor desync
"Drone log, vbat avg=20.56V (min=22.23V), amperage max=14.59A, rssi avg=20 (min=78), motor imbalance=122, gyro variability=4.918, acc variability=18.044, GPS sats min=7, GPS speed max=1.67 m/s, alt avg=117.4m, throttle avg=1710, failsafe phase=1, rx signal quality=0.8 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=21.91V (min=21.78V), amperage max=4.92A, rssi avg=41 (min=40), motor imbalance=220, gyro variability=0.039, acc variability=0.088, GPS sats min=15, GPS speed max=18.59 m/s, alt avg=636.3m, throttle avg=1152, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.28V (min=22.19V), amperage max=5.75A, rssi avg=45 (min=45), motor imbalance=327, gyro variability=0.435, acc variability=0.122, GPS sats min=13, GPS speed max=15.62 m/s, alt avg=605.4m, throttle avg=1160, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.15V (min=12.04V), amperage max=20.4A, rssi avg=63 (min=78), motor imbalance=87, gyro variability=4.19, acc variability=15.442, GPS sats min=3, GPS speed max=21.06 m/s, alt avg=145.3m, throttle avg=1298, failsafe phase=1, rx signal quality=0.16 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=21.64V (min=18.01V), amperage max=20.27A, rssi avg=42 (min=86), motor imbalance=38, gyro variability=4.658, acc variability=35.363, GPS sats min=0, GPS speed max=0.73 m/s, alt avg=123.2m, throttle avg=1462, failsafe phase=1, rx signal quality=0.38 → What issues occurred?",failsafe triggered; gps loss
"Drone log, vbat avg=20.8V (min=17.48V), amperage max=18.58A, rssi avg=46 (min=63), motor imbalance=178, gyro variability=1.464, acc variability=16.593, GPS sats min=13, GPS speed max=1.59 m/s, alt avg=71.5m, throttle avg=1578, failsafe phase=1, rx signal quality=0.47 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=23.49V (min=21.43V), amperage max=20.33A, rssi avg=83 (min=76), motor imbalance=30, gyro variability=0.741, acc variability=37.509, GPS sats min=2, GPS speed max=13.08 m/s, alt avg=79.2m, throttle avg=1122, failsafe phase=1, rx signal quality=0.51 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=21.06V (min=20.82V), amperage max=15.15A, rssi avg=49 (min=11), motor imbalance=10, gyro variability=2.133, acc variability=7.583, GPS sats min=9, GPS speed max=19.64 m/s, alt avg=90.2m, throttle avg=1500, failsafe phase=1, rx signal quality=0.08 → What issues occurred?",rssi drop; failsafe triggered
"Drone log, vbat avg=22.35V (min=22.59V), amperage max=20.29A, rssi avg=54 (min=64), motor imbalance=111, gyro variability=4.031, acc variability=4.191, GPS sats min=0, GPS speed max=9.37 m/s, alt avg=54.6m, throttle avg=1143, failsafe phase=0, rx signal quality=0.25 → What issues occurred?",failsafe triggered; gps loss
"Drone log, vbat avg=23.05V (min=22.92V), amperage max=6.45A, rssi avg=53 (min=53), motor imbalance=219, gyro variability=0.04, acc variability=0.139, GPS sats min=9, GPS speed max=20.31 m/s, alt avg=874.0m, throttle avg=1184, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.94V (min=10.39V), amperage max=5.65A, rssi avg=52 (min=29), motor imbalance=211, gyro variability=4.341, acc variability=38.569, GPS sats min=1, GPS speed max=16.08 m/s, alt avg=149.7m, throttle avg=1277, failsafe phase=0, rx signal quality=0.52 → What issues occurred?",rssi drop; failsafe triggered
"Drone log, vbat avg=21.88V (min=21.78V), amperage max=4.42A, rssi avg=34 (min=34), motor imbalance=276, gyro variability=0.033, acc variability=0.056, GPS sats min=13, GPS speed max=16.64 m/s, alt avg=696.3m, throttle avg=1136, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.0V (min=13.72V), amperage max=22.44A, rssi avg=59 (min=65), motor imbalance=153, gyro variability=0.405, acc variability=2.849, GPS sats min=7, GPS speed max=13.06 m/s, alt avg=97.3m, throttle avg=1411, failsafe phase=0, rx signal quality=0.55 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=23.49V (min=9.95V), amperage max=17.42A, rssi avg=98 (min=25), motor imbalance=225, gyro variability=2.474, acc variability=37.568, GPS sats min=4, GPS speed max=11.26 m/s, alt avg=63.4m, throttle avg=1129, failsafe phase=0, rx signal quality=0.41 → What issues occurred?",rssi drop; failsafe triggered
"Drone log, vbat avg=20.02V (min=18.25V), amperage max=15.41A, rssi avg=52 (min=55), motor imbalance=385, gyro variability=3.649, acc variability=30.196, GPS sats min=14, GPS speed max=22.46 m/s, alt avg=113.3m, throttle avg=1781, failsafe phase=1, rx signal quality=0.01 → What issues occurred?",motor desync; failsafe triggered
"Drone log, vbat avg=21.61V (min=21.52V), amperage max=6.47A, rssi avg=42 (min=42), motor imbalance=380, gyro variability=0.043, acc variability=0.124, GPS sats min=15, GPS speed max=18.8 m/s, alt avg=700.1m, throttle avg=1190, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=23.08V (min=23.02V), amperage max=6.35A, rssi avg=41 (min=40), motor imbalance=235, gyro variability=0.043, acc variability=0.148, GPS sats min=9, GPS speed max=21.67 m/s, alt avg=883.6m, throttle avg=1185, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.76V (min=22.7V), amperage max=5.27A, rssi avg=47 (min=46), motor imbalance=168, gyro variability=0.036, acc variability=0.082, GPS sats min=11, GPS speed max=18.05 m/s, alt avg=664.9m, throttle avg=1145, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=20.91V (min=15.8V), amperage max=7.82A, rssi avg=36 (min=22), motor imbalance=108, gyro variability=0.272, acc variability=39.805, GPS sats min=2, GPS speed max=13.34 m/s, alt avg=106.6m, throttle avg=1462, failsafe phase=1, rx signal quality=0.2 → What issues occurred?",rssi drop; failsafe triggered
"Drone log, vbat avg=23.33V (min=22.91V), amperage max=8.87A, rssi avg=55 (min=55), motor imbalance=606, gyro variability=0.161, acc variability=0.381, GPS sats min=8, GPS speed max=17.67 m/s, alt avg=851.2m, throttle avg=1154, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=23.15V (min=23.04V), amperage max=7.7A, rssi avg=43 (min=43), motor imbalance=178, gyro variability=0.045, acc variability=0.151, GPS sats min=8, GPS speed max=18.48 m/s, alt avg=685.4m, throttle avg=1227, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=23.54V (min=23.37V), amperage max=5.42A, rssi avg=42 (min=42), motor imbalance=289, gyro variability=0.164, acc variability=0.122, GPS sats min=8, GPS speed max=21.47 m/s, alt avg=817.7m, throttle avg=1148, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.78V (min=11.2V), amperage max=15.94A, rssi avg=56 (min=37), motor imbalance=43, gyro variability=3.893, acc variability=20.994, GPS sats min=14, GPS speed max=8.12 m/s, alt avg=55.4m, throttle avg=1798, failsafe phase=1, rx signal quality=0.56 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=21.0V (min=21.81V), amperage max=12.17A, rssi avg=77 (min=12), motor imbalance=29, gyro variability=0.925, acc variability=36.334, GPS sats min=10, GPS speed max=19.16 m/s, alt avg=148.4m, throttle avg=1406, failsafe phase=1, rx signal quality=0.28 → What issues occurred?",rssi drop; failsafe triggered
"Drone log, vbat avg=23.81V (min=21.98V), amperage max=17.14A, rssi avg=34 (min=43), motor imbalance=129, gyro variability=1.446, acc variability=10.066, GPS sats min=13, GPS speed max=3.45 m/s, alt avg=75.9m, throttle avg=1712, failsafe phase=1, rx signal quality=0.63 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=22.05V (min=12.74V), amperage max=17.95A, rssi avg=70 (min=67), motor imbalance=222, gyro variability=4.516, acc variability=0.278, GPS sats min=8, GPS speed max=16.72 m/s, alt avg=68.7m, throttle avg=1644, failsafe phase=0, rx signal quality=0.55 → What issues occurred?",prop wash; failsafe triggered
"Drone log, vbat avg=21.66V (min=13.07V), amperage max=22.2A, rssi avg=44 (min=10), motor imbalance=13, gyro variability=3.272, acc variability=1.955, GPS sats min=8, GPS speed max=10.78 m/s, alt avg=63.5m, throttle avg=1047, failsafe phase=1, rx signal quality=0.43 → What issues occurred?",rssi drop; failsafe triggered
"Drone log, vbat avg=22.8V (min=21.2V), amperage max=12.95A, rssi avg=74 (min=36), motor imbalance=83, gyro variability=1.475, acc variability=7.628, GPS sats min=4, GPS speed max=0.86 m/s, alt avg=111.7m, throttle avg=1014, failsafe phase=0, rx signal quality=0.9 → What issues occurred?",no issue
"Drone log, vbat avg=20.53V (min=17.06V), amperage max=12.77A, rssi avg=72 (min=40), motor imbalance=230, gyro variability=3.268, acc variability=33.475, GPS sats min=8, GPS speed max=19.98 m/s, alt avg=69.9m, throttle avg=1037, failsafe phase=1, rx signal quality=0.88 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=22.03V (min=14.95V), amperage max=23.31A, rssi avg=70 (min=73), motor imbalance=168, gyro variability=3.172, acc variability=24.308, GPS sats min=8, GPS speed max=0.83 m/s, alt avg=100.2m, throttle avg=1164, failsafe phase=0, rx signal quality=0.11 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=23.71V (min=20.32V), amperage max=16.58A, rssi avg=51 (min=30), motor imbalance=356, gyro variability=0.198, acc variability=20.551, GPS sats min=9, GPS speed max=10.87 m/s, alt avg=106.9m, throttle avg=1012, failsafe phase=1, rx signal quality=0.02 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=20.23V (min=19.45V), amperage max=19.73A, rssi avg=40 (min=12), motor imbalance=315, gyro variability=4.859, acc variability=22.134, GPS sats min=10, GPS speed max=21.79 m/s, alt avg=119.6m, throttle avg=1246, failsafe phase=0, rx signal quality=0.76 → What issues occurred?",rssi drop; motor desync; failsafe triggered
"Drone log, vbat avg=21.77V (min=21.64V), amperage max=7.0A, rssi avg=42 (min=41), motor imbalance=282, gyro variability=0.044, acc variability=0.115, GPS sats min=15, GPS speed max=19.37 m/s, alt avg=652.8m, throttle avg=1204, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.31V (min=12.8V), amperage max=23.8A, rssi avg=47 (min=34), motor imbalance=64, gyro variability=2.216, acc variability=6.468, GPS sats min=1, GPS speed max=15.71 m/s, alt avg=98.6m, throttle avg=1378, failsafe phase=0, rx signal quality=0.91 → What issues occurred?",no issue
"Drone log, vbat avg=21.06V (min=21.54V), amperage max=11.39A, rssi avg=56 (min=73), motor imbalance=41, gyro variability=2.396, acc variability=2.857, GPS sats min=13, GPS speed max=16.42 m/s, alt avg=80.0m, throttle avg=1466, failsafe phase=1, rx signal quality=0.67 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=21.55V (min=21.44V), amperage max=5.05A, rssi avg=26 (min=26), motor imbalance=249, gyro variability=0.065, acc variability=0.065, GPS sats min=16, GPS speed max=15.67 m/s, alt avg=571.6m, throttle avg=1150, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=23.2V (min=14.94V), amperage max=24.28A, rssi avg=60 (min=78), motor imbalance=383, gyro variability=0.931, acc variability=34.587, GPS sats min=3, GPS speed max=20.58 m/s, alt avg=129.7m, throttle avg=1339, failsafe phase=1, rx signal quality=0.59 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=22.87V (min=11.3V), amperage max=16.06A, rssi avg=70 (min=28), motor imbalance=124, gyro variability=0.244, acc variability=32.959, GPS sats min=10, GPS speed max=6.3 m/s, alt avg=136.9m, throttle avg=1328, failsafe phase=1, rx signal quality=0.33 → What issues occurred?",rssi drop; failsafe triggered
"Drone log, vbat avg=21.79V (min=14.85V), amperage max=17.1A, rssi avg=60 (min=10), motor imbalance=395, gyro variability=2.638, acc variability=16.236, GPS sats min=4, GPS speed max=6.4 m/s, alt avg=69.4m, throttle avg=1384, failsafe phase=1, rx signal quality=0.38 → What issues occurred?",rssi drop; motor desync; failsafe triggered
"Drone log, vbat avg=21.99V (min=21.24V), amperage max=15.47A, rssi avg=63 (min=23), motor imbalance=381, gyro variability=0.502, acc variability=2.5, GPS sats min=11, GPS speed max=16.84 m/s, alt avg=143.0m, throttle avg=1324, failsafe phase=0, rx signal quality=0.77 → What issues occurred?",rssi drop; failsafe triggered
"Drone log, vbat avg=23.83V (min=9.58V), amperage max=10.67A, rssi avg=99 (min=25), motor imbalance=239, gyro variability=4.273, acc variability=31.506, GPS sats min=5, GPS speed max=22.47 m/s, alt avg=112.6m, throttle avg=1092, failsafe phase=0, rx signal quality=0.4 → What issues occurred?",rssi drop; failsafe triggered
"Drone log, vbat avg=20.83V (min=22.62V), amperage max=22.76A, rssi avg=88 (min=84), motor imbalance=313, gyro variability=2.394, acc variability=30.388, GPS sats min=1, GPS speed max=3.68 m/s, alt avg=50.4m, throttle avg=1574, failsafe phase=0, rx signal quality=0.39 → What issues occurred?",prop wash; motor desync; failsafe triggered
